claim_id,order_id,claim_date,claim_type,claim_status,reported_value,claim_amount,resolution_date,resolution_time_days,refunded_amount
CLM-20200127-31832,121b1b9f-8f64-4353-9400-8fc9addfbbac,2020-01-15 00:00:00,partial_delivery,rejected,32.88,37.96,2020-01-26 13:28:16,11.56,0.0
CLM-20200119-76399,7a9bfde6-bf44-4e0a-8bd9-3e87ccfd78ef,2020-01-16 00:00:00,missing_item,open,104.83,123.01,,,
CLM-20200131-38670,0ebcb0b6-46f3-49ba-9b03-c4a0fcad7186,2020-01-21 00:00:00,wrong_item,resolved,23.85,24.96,2020-02-03 10:12:28,13.43,22.16
CLM-20200127-74442,ba5ccc7c-5c99-41c0-b718-b8229e33ff31,2020-01-25 00:00:00,damaged,resolved,25.35,22.72,2020-02-02 09:52:16,8.41,21.03
CLM-20200126-20346,2bd2b383-5599-47d5-b462-cf5f540e075a,2020-01-27 00:00:00,missing_item,resolved,90.61,105.91,2020-02-04 23:17:55,8.97,60.1
CLM-20200203-56902,8a0b71c8-30ee-4cd3-8e9e-fddaf0c11933,2020-02-01 00:00:00,missing_item,resolved,65.53,72.74,2020-02-15 08:59:39,14.37,43.28
CLM-20200207-83927,4c104d35-a2f7-4965-be2b-8cca1b07236a,2020-02-04 00:00:00,damaged,rejected,183.35,206.08,2020-02-17 10:37:45,13.44,0.0
CLM-20200208-58785,a3ecfaef-6997-4da7-9040-d1e2de34641e,2020-02-04 00:00:00,damaged,resolved,71.82,70.47,2020-02-14 09:44:23,10.41,69.6
CLM-20200210-27358,665a0c67-0c50-44c4-8bba-f2195b784a3e,2020-02-04 00:00:00,delay,resolved,86.64,83.75,2020-02-15 19:34:33,11.82,14.08
CLM-20200210-90934,2cde7dc4-f406-4cc1-9dc1-90cce5f6f21c,2020-02-05 00:00:00,damaged,resolved,172.01,204.03,2020-02-17 19:51:49,12.83,189.04
CLM-20200207-10022,9f15d300-de32-4ee6-98e3-2c627c080d9d,2020-02-05 11:09:33,stolen,resolved,234.15,239.4,2020-02-28 07:05:31,22.83,216.04
CLM-20200213-30557,7a9d8105-0463-4cec-94a6-ee6cfb873eb6,2020-02-06 03:12:46,stolen,resolved,123.0,103.04,2020-03-14 12:23:55,37.38,92.94
CLM-20200203-65779,6e73615e-e47f-48a3-b363-5589081dc37f,2020-02-07 00:00:00,damaged,resolved,47.44,45.7,2020-02-16 22:59:30,9.96,43.33
CLM-20200214-28261,27b2cc05-1e32-4c9d-a72a-811215518a02,2020-02-07 00:00:00,damaged,resolved,112.28,92.37,2020-02-27 16:46:26,20.7,88.57
CLM-20200204-37201,d3b205ec-17ff-4d83-a673-dadc857c15d6,2020-02-08 00:00:00,missing_item,open,43.69,46.06,,,
CLM-20200207-28895,0a5969b6-6a76-4114-a602-0664f8b66bfc,2020-02-08 00:00:00,missing_item,resolved,214.0,213.4,2020-02-26 20:31:08,18.85,145.16
CLM-20200210-71086,3d226224-b26b-477c-ba70-9c7a2ff62015,2020-02-14 00:00:00,delay,resolved,67.1,76.97,2020-02-22 07:57:07,8.33,9.34
CLM-20200218-62799,95e7959a-7ee8-4123-84d4-ce1a8d8e3a1e,2020-02-17 00:00:00,missing_item,resolved,53.03,53.31,2020-02-27 09:27:09,10.39,29.6
CLM-20200219-27189,75203c7e-b553-4cde-a9a9-5ad82fa027bf,2020-02-17 00:00:00,wrong_item,resolved,52.65,47.0,2020-03-01 02:42:08,13.11,39.96
CLM-20200221-37313,778cdb29-edc0-4b86-842d-ed2a7d7adcee,2020-02-17 10:26:33,stolen,in_investigation,33.19,28.91,,,
CLM-20200130-81303,79d68aff-cc1e-46c4-ba82-190d624d814a,2020-02-17 21:28:35,other,resolved,131.12,112.87,2020-03-02 02:31:04,13.21,41.52
CLM-20200219-71404,ea2764b3-fa95-42b9-b3b8-27139f9ddf4d,2020-02-21 00:00:00,partial_delivery,resolved,40.02,32.56,2020-03-03 01:40:38,11.07,20.23
CLM-20200228-22661,b0070971-bdde-4cf2-b274-dd38142715bd,2020-02-24 16:21:42,non_delivery,resolved,85.64,68.97,2020-03-22 18:57:59,27.11,63.37
CLM-20200225-88513,1d0aa6d2-16ec-40d9-a860-fad3c741c0cb,2020-03-01 00:00:00,delay,resolved,33.37,35.76,2020-03-10 05:37:41,9.23,7.74
CLM-20200302-84095,5170f181-a453-457f-a79d-e0b554e8f0c5,2020-03-01 00:00:00,missing_item,in_investigation,118.24,138.54,,,
CLM-20200218-85583,d9271437-ad75-41d7-b307-0ef0647f4a61,2020-03-01 21:00:19,other,resolved,93.85,76.56,2020-03-07 00:07:51,5.13,10.39
CLM-20200303-92516,969d817e-d514-4706-ae94-6f7bbb3ff168,2020-03-05 00:00:00,wrong_item,resolved,136.24,118.37,2020-03-12 17:58:23,7.75,82.44
CLM-20200307-64862,d0b84767-bb47-4cb6-955b-906a58817a12,2020-03-06 00:00:00,delay,resolved,32.17,36.9,2020-03-16 16:17:22,10.68,8.93
CLM-20200307-19466,a62e3dac-6959-46d2-818e-a2761df9747b,2020-03-08 16:06:57,delay,resolved,33.09,34.27,2020-03-19 12:00:44,10.83,8.07
CLM-20200303-20995,3c56d64b-dfa8-421d-8e71-77fca1081deb,2020-03-09 16:15:28,stolen,resolved,40.81,40.45,2020-04-08 08:08:46,29.66,39.85
CLM-20200325-69819,a1d66048-b86d-424f-bf42-6966207971bb,2020-03-14 00:00:00,missing_item,resolved,32.33,30.59,2020-03-24 19:57:59,10.83,19.94
CLM-20200312-69201,88614bc6-9b9b-4bad-bf71-ed20253f9f62,2020-03-18 10:04:26,non_delivery,rejected,31.48,29.15,2020-04-18 05:13:57,30.8,0.0
CLM-20200323-64240,b0042ca7-e374-4ab5-b9f8-be02138c43e4,2020-03-21 00:00:00,partial_delivery,resolved,101.04,81.31,2020-03-31 06:58:59,10.29,52.88
CLM-20200327-80290,852c5fff-daec-4230-8c70-8b8fb2bc3219,2020-03-23 00:00:00,damaged,resolved,37.11,31.16,2020-04-10 17:55:13,18.75,30.94
CLM-20200330-84486,0666a93a-73db-492c-a28d-2b1144fa7119,2020-03-24 00:51:00,stolen,resolved,296.6,321.92,2020-05-05 17:56:55,42.71,292.58
CLM-20200406-34398,d8f4d9dc-219e-44d4-811c-b98edd0a3a1e,2020-03-28 00:00:00,missing_item,in_investigation,136.41,115.03,,,
CLM-20200408-24219,4be0a581-a5cc-4357-b409-748fc085072f,2020-03-30 01:29:34,damaged,resolved,47.76,56.17,2020-04-12 01:00:02,12.98,53.66
CLM-20200402-56326,d9092571-36e0-46a6-ab86-cced2897be78,2020-03-31 00:00:00,wrong_item,resolved,43.15,47.27,2020-04-12 06:06:49,12.25,32.32
CLM-20200402-62979,6cdfd3ae-39f7-4ad0-981f-87ef422c8851,2020-04-02 13:31:28,non_delivery,resolved,33.06,38.13,2020-05-04 10:50:36,31.89,35.66
CLM-20200409-13515,6d9a0c2c-dd0e-4fa0-b1a8-588d7353809e,2020-04-05 00:00:00,damaged,in_investigation,161.18,164.45,,,
CLM-20200405-32560,27b78dcc-8b8f-4f3f-a5d3-a3a0efed6bac,2020-04-06 00:00:00,damaged,in_investigation,116.59,112.98,,,
CLM-20200406-59979,78d4a441-160c-4480-8ad6-22174d8370bb,2020-04-10 00:00:00,delay,resolved,48.44,41.6,2020-04-23 06:05:20,13.25,16.62
CLM-20200422-37219,aa9dfcf6-0b42-41c0-b52b-19ff895caadc,2020-04-16 00:00:00,damaged,resolved,36.17,30.99,2020-05-02 20:48:41,16.87,30.7
CLM-20200412-41821,ddb42673-15c0-4e91-b9c5-18d48dd29343,2020-04-16 00:00:00,partial_delivery,resolved,32.28,28.42,2020-04-23 13:29:22,7.56,20.74
CLM-20200420-92427,8705d8e6-b5fe-462f-b0e2-fbc690b376d1,2020-04-16 00:00:00,missing_item,rejected,9.3,7.82,2020-05-01 20:56:59,15.87,0.0
CLM-20200426-12606,3529c12a-a4f9-4212-90bb-2bbd7f257dfe,2020-04-16 00:00:00,delay,resolved,98.35,109.24,2020-04-28 02:20:01,12.1,34.13
CLM-20200402-68046,65bdb194-de4d-4e8d-bf54-d2de32118ab6,2020-04-16 09:52:32,other,resolved,49.98,47.66,2020-04-25 07:15:34,8.89,18.77
CLM-20200425-59613,971faf82-eead-451c-a10c-e1b6bed2051c,2020-04-17 00:00:00,missing_item,resolved,67.57,69.05,2020-04-26 13:27:44,9.56,37.24
CLM-20200327-31352,86918619-5c7c-4c39-80da-c12ed75d1835,2020-04-17 20:15:37,other,resolved,32.27,33.61,2020-04-30 01:08:56,12.2,9.26
CLM-20200426-19117,b5d0accd-1ec1-4344-ae52-a0d22f945a28,2020-04-18 17:05:24,non_delivery,rejected,74.66,69.59,2020-05-16 14:27:28,27.89,0.0
CLM-20200422-56612,0b6d6bf7-6784-4029-beff-f634278f2c8f,2020-04-22 00:00:00,damaged,resolved,89.19,91.66,2020-05-02 10:39:12,10.44,87.05
CLM-20200424-48289,61fbfd16-3e9b-4ed8-b78a-87c93c2280d4,2020-04-23 00:00:00,missing_item,resolved,131.23,131.51,2020-05-09 01:37:48,16.07,85.59
CLM-20200429-13811,10e8b999-e47e-429e-a346-e2f6bf55b75d,2020-04-23 00:00:00,wrong_item,resolved,46.69,49.36,2020-05-02 19:50:25,9.83,33.68
CLM-20200411-99541,2889974f-dc56-4e48-b69c-95c358f9b532,2020-04-26 10:50:17,other,rejected,30.39,27.18,2020-05-09 15:01:18,13.17,0.0
CLM-20200426-47930,7a08ca0b-13ac-4696-a980-b8d127b2dd0e,2020-04-27 00:00:00,delay,rejected,98.26,87.94,2020-05-04 14:21:06,7.6,0.0
CLM-20200429-75283,9ece4c7f-da49-4997-a56d-f8f68ecc3bee,2020-04-30 00:00:00,missing_item,in_investigation,43.44,46.4,,,
CLM-20200430-64499,b5d67476-8124-489e-8b1d-d93e255736c8,2020-05-01 00:00:00,delay,rejected,85.0,79.0,2020-05-13 13:08:59,12.55,0.0
CLM-20200506-84081,15d9c6eb-cfb8-4827-9244-6be00d4cc04c,2020-05-05 00:00:00,damaged,rejected,161.14,172.55,2020-05-18 15:55:47,13.66,0.0
CLM-20200509-75365,0edacfc4-7dc8-47a9-95e8-205dcdce4f9e,2020-05-05 00:00:00,delay,resolved,38.94,36.25,2020-05-12 14:34:59,7.61,6.56
CLM-20200512-13447,f4b44074-01b6-4654-adf2-35bc7b45a447,2020-05-08 02:10:57,stolen,resolved,124.83,140.95,2020-06-19 22:53:25,42.86,135.64
CLM-20200509-95404,9c28c352-d825-41f4-b083-e571bc32ca68,2020-05-10 00:00:00,delay,resolved,15.16,12.25,2020-05-15 03:37:49,5.15,3.14
CLM-20200513-81094,67d998cc-e562-4e3b-93d6-28c579a1e03a,2020-05-11 15:04:59,partial_delivery,rejected,154.43,158.89,2020-05-24 07:20:02,12.68,0.0
CLM-20200428-34288,991291ec-5a6f-42a1-b3e7-e12c21b8e4a7,2020-05-15 12:28:28,other,resolved,35.36,42.06,2020-05-21 21:32:49,6.38,7.6
CLM-20200518-50274,b6a56390-ecb8-4dee-95bd-b2e437ebf4e0,2020-05-16 00:00:00,damaged,resolved,155.35,127.39,2020-05-29 19:42:57,13.82,119.18
CLM-20200525-88000,0a7359af-b7cd-4ea8-9e8c-6fe0b89791db,2020-05-18 00:00:00,missing_item,rejected,10.3,9.57,2020-06-01 19:25:18,14.81,0.0
CLM-20200515-10434,69f2dd02-e150-4e39-bfc7-78411f6038b6,2020-05-19 22:07:29,stolen,resolved,105.08,119.74,2020-06-03 05:32:05,14.31,118.99
CLM-20200522-94891,1914154a-80f9-44e8-8eb5-847ebd3da802,2020-05-22 00:00:00,damaged,resolved,107.27,123.3,2020-06-04 01:14:35,13.05,116.06
CLM-20200523-32540,456a4ed9-9cae-4973-ab0d-986167bf36f9,2020-05-23 18:51:33,stolen,resolved,73.49,76.43,2020-06-28 19:47:26,36.04,71.11
CLM-20200527-15285,52ccc86d-892d-4a3b-9ac4-e2ecbd81b6c5,2020-05-25 00:00:00,missing_item,resolved,42.93,39.85,2020-06-10 05:21:07,16.22,27.38
CLM-20200529-81310,ebcad311-5ec9-430c-a534-914be58e7cac,2020-05-26 00:00:00,missing_item,resolved,110.8,103.3,2020-06-03 06:20:49,8.26,69.09
CLM-20200524-28687,97b076a9-4078-40fb-afe7-9974cee687a9,2020-05-26 00:00:00,missing_item,resolved,74.21,60.48,2020-06-02 08:51:09,7.37,43.65
CLM-20200520-52082,958f9ee6-2c91-4f73-896a-2c46e99b64a1,2020-05-28 00:00:00,delay,rejected,31.62,25.84,2020-06-07 03:58:23,10.17,0.0
CLM-20200605-41661,968c309d-2392-484f-b343-129a2a2e8f64,2020-05-30 00:00:00,wrong_item,resolved,25.84,20.76,2020-06-05 17:07:22,6.71,18.32
CLM-20200603-60668,b8524bd4-64d1-451f-90a0-fc280657ccfa,2020-06-02 00:00:00,missing_item,resolved,203.07,209.84,2020-06-19 11:59:44,17.5,137.02
CLM-20200605-53436,f76248bf-103d-4bd5-88d1-7f240a51970d,2020-06-03 03:09:29,non_delivery,in_investigation,18.98,22.24,,,
CLM-20200521-31563,607e6104-e2ab-45f6-b8bf-d4b5482ec8a6,2020-06-04 20:40:07,other,resolved,34.51,37.45,2020-06-12 07:44:42,7.46,5.11
CLM-20200601-37097,f5553277-1787-43bd-af55-8a717ee54398,2020-06-05 00:00:00,wrong_item,resolved,53.96,49.03,2020-06-14 01:02:24,9.04,39.02
CLM-20200612-63790,ce7373fa-5349-4210-9e18-d370d3103cdf,2020-06-06 00:00:00,wrong_item,in_investigation,49.69,53.22,,,
CLM-20200611-72019,6f46ae55-f132-4e3f-b120-acf3339f7e5b,2020-06-06 00:00:00,delay,resolved,34.74,28.04,2020-06-14 00:18:00,8.01,4.35
CLM-20200607-99001,a8caf687-0f77-41ae-bcc6-63f34ce736ac,2020-06-07 00:00:00,damaged,in_investigation,39.12,33.48,,,
CLM-20200611-17425,73c3dcf3-9ad3-4ef3-894e-cfa70f3a5b01,2020-06-11 00:00:00,damaged,resolved,90.06,84.13,2020-06-22 13:16:27,11.55,83.49
CLM-20200621-70664,c122a09e-7cc4-41bc-9e1d-cc4f0ccd74f1,2020-06-19 00:00:00,missing_item,rejected,28.08,24.35,2020-07-01 20:57:55,12.87,0.0
CLM-20200623-36485,42824f8f-d85e-4433-b8af-eac7b8d51acb,2020-06-19 00:00:00,damaged,resolved,42.7,41.08,2020-06-30 06:16:03,11.26,39.78
CLM-20200628-86759,88f7d3a7-8911-4883-897b-c46461e25fdd,2020-06-23 00:00:00,damaged,resolved,136.39,132.96,2020-07-09 20:58:31,16.87,127.2
CLM-20200620-22454,3fd54bf4-fbab-48a4-9f0d-4a3e5d420fa2,2020-06-23 10:04:54,stolen,open,169.17,179.56,,,
CLM-20200702-99711,8b066951-a9e4-461a-9362-7f362b4e88aa,2020-06-24 00:00:00,delay,resolved,19.43,16.09,2020-07-02 17:18:36,8.72,3.84
CLM-20200630-85205,b3509c37-36ad-40d3-a1e2-b933fd9f68e1,2020-06-25 00:00:00,missing_item,resolved,190.18,222.49,2020-07-03 10:56:53,8.46,137.12
CLM-20200625-44404,fa2085a0-614d-438e-acc9-600ecfa563f4,2020-06-26 01:13:21,stolen,resolved,67.37,77.46,2020-07-14 05:18:34,18.17,71.05
CLM-20200618-46551,39ae8311-cb96-405c-ae85-d6a420fa013e,2020-06-27 21:23:24,stolen,resolved,103.26,119.43,2020-08-07 04:03:53,40.28,119.34
CLM-20200702-43012,dd8d9ad7-eaf5-40fc-804d-f1cc921af0a1,2020-06-28 00:00:00,missing_item,resolved,23.07,19.69,2020-07-06 20:41:15,8.86,9.98
CLM-20200702-49536,7bdaca9d-60c5-44ed-98a0-1940f4f9f00f,2020-06-28 00:00:00,missing_item,rejected,36.09,42.66,2020-07-07 16:51:10,9.7,0.0
