order_id,line_no,product_id,quantity,unit_price,line_total,return_flag,refund_amount
14e9c589-52d4-4375-b64b-73cdd2478ddb,1,B23-PROD000007,1,18.61,18.61,True,17.86
14e9c589-52d4-4375-b64b-73cdd2478ddb,2,B18-PROD000005,2,23.3,46.6,True,46.18
14e9c589-52d4-4375-b64b-73cdd2478ddb,3,B15-PROD000008,2,4.66,9.32,False,
8acebfa8-849d-4784-a2c8-759f4fa60549,1,B2-PROD000012,1,36.28,36.28,False,
a87e8da7-198f-4c83-892b-6aff6b2bcf3c,1,B6-PROD000002,1,101.79,101.79,False,
a87e8da7-198f-4c83-892b-6aff6b2bcf3c,2,B15-PROD000012,2,10.88,21.76,False,
a87e8da7-198f-4c83-892b-6aff6b2bcf3c,3,B1-PROD000020,1,7.18,7.18,True,6.33
ca94a124-982d-4057-a740-4d57f51d4372,1,PROD000019,4,16.9,67.62,False,
ca94a124-982d-4057-a740-4d57f51d4372,2,B23-PROD000006,1,12.0,12.0,False,
8e7098f5-44fd-4467-8bc7-f784637399bb,1,B1-PROD000015,1,298.82,298.82,False,
8e7098f5-44fd-4467-8bc7-f784637399bb,2,B10-PROD000019,1,64.07,64.07,False,
8e7098f5-44fd-4467-8bc7-f784637399bb,3,PROD000010,4,1.97,7.89,False,
8e7098f5-44fd-4467-8bc7-f784637399bb,4,PROD000115,3,0.31,0.92,True,0.66
8e7098f5-44fd-4467-8bc7-f784637399bb,5,B3-PROD000013,1,0.26,0.26,False,
8e7098f5-44fd-4467-8bc7-f784637399bb,6,B17-PROD000006,2,0.04,0.07,False,
54e81bab-6c0b-4c48-8c87-67574ff79fd0,1,B13-PROD000012,2,24.13,48.26,False,
54e81bab-6c0b-4c48-8c87-67574ff79fd0,2,B1-PROD000020,2,8.84,17.68,False,
7a9bfde6-bf44-4e0a-8bd9-3e87ccfd78ef,1,B21-PROD000109,2,26.36,52.71,True,42.57
7a9bfde6-bf44-4e0a-8bd9-3e87ccfd78ef,2,B17-PROD000018,1,68.78,68.78,False,
ce6b6ccf-5afb-4d76-8ebd-3b65c4444a9f,1,B6-PROD000013,1,78.43,78.43,False,
ce6b6ccf-5afb-4d76-8ebd-3b65c4444a9f,2,PROD000018,3,6.02,18.06,True,16.51
ce6b6ccf-5afb-4d76-8ebd-3b65c4444a9f,3,B6-PROD000008,2,2.32,4.64,False,
21a438ba-0e57-4df0-81ba-dec5b388508c,1,B10-PROD000019,1,40.98,40.98,False,
21a438ba-0e57-4df0-81ba-dec5b388508c,2,B13-PROD000007,1,12.45,12.45,False,
21a438ba-0e57-4df0-81ba-dec5b388508c,3,B8-PROD000020,1,2.43,2.43,False,
21a438ba-0e57-4df0-81ba-dec5b388508c,4,PROD000008,1,0.66,0.66,True,0.52
1195c3a2-6473-4cb0-8889-b6c298ceb13a,1,B23-PROD000001,2,36.36,72.73,False,
1195c3a2-6473-4cb0-8889-b6c298ceb13a,2,B21-PROD000107,1,11.89,11.89,False,
121b1b9f-8f64-4353-9400-8fc9addfbbac,1,B21-PROD000107,1,41.2,41.2,False,
121b1b9f-8f64-4353-9400-8fc9addfbbac,2,PROD000111,2,5.68,11.37,True,9.7
121b1b9f-8f64-4353-9400-8fc9addfbbac,3,B6-PROD000010,1,1.89,1.89,False,
a161e342-fc33-4843-8698-192ad3987ec4,1,B6-PROD000015,1,20.07,20.07,False,
a161e342-fc33-4843-8698-192ad3987ec4,2,B23-PROD000005,1,66.95,66.95,False,
3e21e413-a90c-4401-a19d-ea601f7ef6e2,1,B3-PROD000011,2,25.72,51.44,True,40.31
3e21e413-a90c-4401-a19d-ea601f7ef6e2,2,B10-PROD000020,3,3.24,9.73,True,8.24
3e21e413-a90c-4401-a19d-ea601f7ef6e2,3,B6-PROD000005,5,0.47,2.35,False,
3e21e413-a90c-4401-a19d-ea601f7ef6e2,4,B3-PROD000020,2,0.28,0.57,False,
3e21e413-a90c-4401-a19d-ea601f7ef6e2,5,PROD000011,1,0.18,0.18,False,
de8a50b5-1245-4b47-8058-9c1f9f6f9638,1,B13-PROD000011,2,12.28,24.57,False,
de8a50b5-1245-4b47-8058-9c1f9f6f9638,2,B1-PROD000006,1,7.28,7.28,False,
addb7f22-5269-47d3-811a-7f6cd3c61ee3,1,B15-PROD000006,1,76.77,76.77,True,68.6
