order_id,leg_seq,state_code,date_month,entered_at,exited_at,distance_km,leg_duration_hours,vandalism_incidents,theft_incident_flag
0002ae24-e02f-47e7-b72f-943249ab527d,1,TN,2020-12-01,2020-12-31 06:16:50,2020-12-31 12:05:55,421,5.82,0,False
0002ae24-e02f-47e7-b72f-943249ab527d,2,AK,2020-12-01,2020-12-31 12:30:32,2020-12-31 18:54:29,493,6.4,0,False
0002ae24-e02f-47e7-b72f-943249ab527d,3,FL,2020-12-01,2020-12-31 20:34:05,2021-01-01 00:47:02,292,4.22,0,False
000671c4-497d-48a5-a2df-cc74d25f3f67,1,CA,2020-04-01,2020-04-28 07:31:47,2020-04-28 09:38:58,1334,2.12,0,False
000671c4-497d-48a5-a2df-cc74d25f3f67,2,CA,2020-04-01,2020-04-28 11:41:49,2020-04-28 13:34:15,938,1.87,0,False
000671c4-497d-48a5-a2df-cc74d25f3f67,3,IN,2020-04-01,2020-04-28 16:40:23,2020-04-28 20:10:37,1525,3.5,0,False
000671c4-497d-48a5-a2df-cc74d25f3f67,4,CO,2020-04-01,2020-04-29 05:52:18,2020-04-29 07:43:03,902,1.85,0,False
000671c4-497d-48a5-a2df-cc74d25f3f67,5,CT,2020-04-01,2020-04-29 14:31:32,2020-04-29 15:40:49,764,1.15,0,False
000671c4-497d-48a5-a2df-cc74d25f3f67,6,KY,2020-04-01,2020-04-30 01:54:50,2020-04-30 05:25:30,1932,3.51,0,False
000671c4-497d-48a5-a2df-cc74d25f3f67,7,FL,2020-04-01,2020-04-30 10:07:50,2020-04-30 11:09:58,1255,1.04,0,False
0006c3a7-f827-42af-a5cb-0f7301592ff2,1,IN,2020-01-01,2020-01-17 08:15:18,2020-01-17 13:16:14,311,5.02,0,False
0006c3a7-f827-42af-a5cb-0f7301592ff2,2,HI,2020-01-01,2020-01-18 00:56:41,2020-01-18 13:25:48,783,12.49,0,False
0006c3a7-f827-42af-a5cb-0f7301592ff2,3,NH,2020-01-01,2020-01-19 01:21:19,2020-01-19 05:57:49,622,4.61,0,False
00079191-dcf9-4973-b872-05c0ad99d84b,1,OK,2021-01-01,2021-01-10 21:09:28,2021-01-10 22:01:44,404,0.87,0,False
00079191-dcf9-4973-b872-05c0ad99d84b,2,HI,2021-01-01,2021-01-11 03:17:27,2021-01-11 03:53:27,325,0.6,0,False
00079191-dcf9-4973-b872-05c0ad99d84b,3,KY,2021-01-01,2021-01-11 07:17:39,2021-01-11 08:17:39,482,1.0,0,False
0008ada1-70c7-479f-abab-588eeda89297,1,NM,2023-01-01,2023-01-29 20:36:14,2023-01-29 21:29:09,427,0.88,0,False
0008ada1-70c7-479f-abab-588eeda89297,2,AK,2023-01-01,2023-01-30 01:22:19,2023-01-30 02:22:19,608,1.0,0,False
000ba39c-66a2-438e-b6ff-7668501af6b0,1,KS,2025-07-01,2025-07-30 02:10:38,2025-07-30 09:03:51,487,6.89,0,False
000ba39c-66a2-438e-b6ff-7668501af6b0,2,ND,2025-07-01,2025-07-30 18:54:31,2025-07-30 23:21:32,231,4.45,0,False
0013d5aa-f863-4590-a906-0f3ea5a3b8c5,1,CO,2022-05-01,2022-05-06 10:19:01,2022-05-06 15:42:13,425,5.39,0,False
0013d5aa-f863-4590-a906-0f3ea5a3b8c5,2,HI,2022-05-01,2022-05-06 20:25:35,2022-05-07 18:59:35,1182,22.57,0,False
0013d5aa-f863-4590-a906-0f3ea5a3b8c5,3,SC,2022-05-01,2022-05-07 21:52:01,2022-05-08 06:00:38,521,8.14,0,False
0013d5aa-f863-4590-a906-0f3ea5a3b8c5,4,IL,2022-05-01,2022-05-08 13:39:17,2022-05-09 08:52:24,887,19.22,0,False
0013d5aa-f863-4590-a906-0f3ea5a3b8c5,5,FL,2022-05-01,2022-05-09 13:27:18,2022-05-10 04:51:24,1082,15.4,0,False
0013d5aa-f863-4590-a906-0f3ea5a3b8c5,6,LA,2022-05-01,2022-05-10 08:07:13,2022-05-10 16:01:32,824,7.91,0,False
001adcec-271f-4dfb-8a4e-3db9771d3cbe,1,SC,2024-07-01,2024-07-15 10:11:09,2024-07-15 12:45:45,117,2.58,0,False
0027e7fe-b5b0-46be-892e-cfcab5c4ff96,1,AL,2023-05-01,2023-05-16 21:23:45,2023-05-17 22:18:55,976,24.92,0,False
0027e7fe-b5b0-46be-892e-cfcab5c4ff96,2,NV,2023-05-01,2023-05-18 03:02:16,2023-05-18 23:20:58,820,20.31,0,False
0027e7fe-b5b0-46be-892e-cfcab5c4ff96,3,TX,2023-05-01,2023-05-19 09:01:06,2023-05-20 06:28:53,1052,21.46,0,False
0027e7fe-b5b0-46be-892e-cfcab5c4ff96,4,WI,2023-05-01,2023-05-20 10:20:18,2023-05-20 21:29:26,664,11.15,0,False
00367d29-daa7-4bad-8ecc-265632f951fc,1,PA,2022-02-01,2022-02-03 21:01:44,2022-02-04 06:32:35,532,9.51,0,False
00367d29-daa7-4bad-8ecc-265632f951fc,2,IA,2022-02-01,2022-02-04 12:57:47,2022-02-05 13:03:25,939,24.09,0,False
00367d29-daa7-4bad-8ecc-265632f951fc,3,MN,2022-02-01,2022-02-05 16:04:26,2022-02-06 06:43:12,670,14.65,0,False
00367d29-daa7-4bad-8ecc-265632f951fc,4,TN,2022-02-01,2022-02-06 16:20:36,2022-02-06 21:42:38,513,5.37,0,False
0038e770-84f7-4044-a20c-0054c07faf0e,1,AZ,2023-10-01,2023-10-12 07:53:37,2023-10-12 14:21:33,519,6.47,0,False
0038e770-84f7-4044-a20c-0054c07faf0e,2,IA,2023-10-01,2023-10-12 22:26:20,2023-10-13 07:47:44,649,9.36,0,False
