state_code,date_month,seasonal_period,theft_rate_percent,christmas_theft_multiplier,vandalism_incidents,traffic_congestion_index,weather_disruption_index,risk_zone_score
AL,2020-01-01,Post_Christmas,1.27,1.0,17,35.1,24.0,30.8
AL,2020-02-01,Normal,0.94,1.0,39,54.6,14.5,35.5
AL,2020-03-01,Normal,1.36,1.0,33,54.5,17.2,37.2
AL,2020-04-01,Normal,1.2,1.0,77,56.3,29.0,43.8
AL,2020-05-01,Normal,0.59,1.0,54,31.4,23.2,27.9
AL,2020-06-01,Normal,1.48,1.0,76,59.8,25.8,44.3
AL,2020-07-01,Normal,1.26,1.0,62,37.4,29.4,34.7
AL,2020-08-01,Normal,1.29,1.0,60,39.3,14.6,28.2
AL,2020-09-01,Normal,0.63,1.0,17,37.5,16.4,27.6
AL,2020-10-01,Normal,0.95,1.0,14,38.0,22.9,31.4
AL,2020-11-01,Normal,0.87,1.0,13,46.6,10.5,29.4
AL,2020-12-01,Pre_Christmas,1.9,1.94,76,42.4,21.4,35.6
AL,2021-01-01,Post_Christmas,1.32,1.0,19,49.7,26.2,39.3
AL,2021-02-01,Normal,0.94,1.0,76,55.1,22.2,39.6
AL,2021-03-01,Normal,0.73,1.0,56,50.8,15.9,34.1
AL,2021-04-01,Normal,1.05,1.0,17,47.8,24.5,37.2
AL,2021-05-01,Normal,0.56,1.0,14,34.4,12.9,24.2
AL,2021-06-01,Normal,1.33,1.0,37,54.5,27.9,42.5
AL,2021-07-01,Normal,1.13,1.0,33,31.1,12.0,22.7
AL,2021-08-01,Normal,1.26,1.0,32,37.9,27.3,33.9
AL,2021-09-01,Normal,0.85,1.0,46,31.7,20.0,26.7
AL,2021-10-01,Normal,1.47,1.0,19,50.0,18.6,35.8
AL,2021-11-01,Normal,1.39,1.0,19,41.1,20.0,31.9
AL,2021-12-01,Pre_Christmas,1.58,1.62,74,56.2,14.0,37.7
AL,2022-01-01,Post_Christmas,0.97,1.0,75,43.7,19.2,32.4
AL,2022-02-01,Normal,0.54,1.0,34,43.7,27.0,35.9
AL,2022-03-01,Normal,0.65,1.0,33,31.4,26.0,29.3
AL,2022-04-01,Normal,1.18,1.0,16,42.9,13.3,29.3
AL,2022-05-01,Normal,1.24,1.0,39,49.2,23.5,37.6
AL,2022-06-01,Normal,1.47,1.0,44,46.4,27.1,38.2
AL,2022-07-01,Normal,0.83,1.0,56,32.3,26.4,30.2
AL,2022-08-01,Normal,0.87,1.0,21,50.0,18.5,35.1
AL,2022-09-01,Normal,0.97,1.0,23,39.3,11.0,26.1
AL,2022-10-01,Normal,0.69,1.0,40,30.4,28.6,30.2
AL,2022-11-01,Normal,0.63,1.0,14,34.7,17.9,26.9
AL,2022-12-01,Pre_Christmas,1.22,1.79,29,50.8,17.2,36.2
AL,2023-01-01,Post_Christmas,1.17,1.0,50,50.8,25.2,39.2
